uuid;name;duration;size;video_quality;stream_link
1ec2a834-2a67-4162-bbe8-66cb57ca6cb3;Bouygues_20s_reseau_Plongeon_WEB_noPetal_ML;20;23723292;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/1ec2a834-2a67-4162-bbe8-66cb57ca6cb3_bouygues-20s-reseau-plongeon-web-nopetal-ml.mp4
f30c6cd8-569c-4671-a272-f4a43826f7ac;Green210719-GRANDS-LACS-DE-CHAMPAGNE-v3-1920x1080;57;23843027;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/f30c6cd8-569c-4671-a272-f4a43826f7ac_green210719-grands-lacs-de-champagne-v3-1920x1080.mp4
4362facb-f504-4acb-99cb-a45582527ee7;a939b976-9b71-4c8a-9464-faf96d9124c9_phpkrfqxe_1080;53;23908610;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/4362facb-f504-4acb-99cb-a45582527ee7_a939b976-9b71-4c8a-9464-faf96d9124c9-phpkrfqxe-1080.mp4
4474fe23-e68e-494b-a3ee-6ef20dfa6c04;Bouygues_20s_reseau_Plongeon_WEB_noPetal_noML;20;23911534;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/4474fe23-e68e-494b-a3ee-6ef20dfa6c04_bouygues-20s-reseau-plongeon-web-nopetal-noml.mp4
76d8a451-caf4-41c7-a9e1-45f7f31cb556;Bouygues_20s_reseau_Ardeche_WEB;20;23923125;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/76d8a451-caf4-41c7-a9e1-45f7f31cb556_bouygues-20s-reseau-ardeche-web.mp4
2a05b3d0-d943-47e1-9c21-0e9865a09270;phpri6Mki;48;23927200;1280x720;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/2a05b3d0-d943-47e1-9c21-0e9865a09270_phpri6mki.mp4
49c73f39-459a-4ea1-afe7-6af486cda370;Cover video_1920x1080_Philosophy_Only_Human_16x9_15sec_FR;15;24122588;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/49c73f39-459a-4ea1-afe7-6af486cda370_cover-video-1920x1080-philosophy-only-human-16x9-15sec-fr.mp4
c1e4b406-917a-4432-9573-846f1da66585;Friends & Fellows-woman-swimming-in-ocean-and-on-boat-in-the-bahamas-283909-filmsupply;11;24151010;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/c1e4b406-917a-4432-9573-846f1da66585_friends-fellows-woman-swimming-in-ocean-and-on-boat-in-the-bahamas-283909-filmsupply.mp4
6c25c344-4301-4498-ba9a-04453b95f38d;LEMANOIRHANTE_SPOT_ESCAPE 20;20;24169915;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/6c25c344-4301-4498-ba9a-04453b95f38d_lemanoirhante-spot-escape-20.mp4
874f9088-0ec6-4522-95dd-c089c75e9502;ASWAN_Social_PAID_ES_16-9 (07.04);20;24238227;1920x1080;https://storage.gra.cloud.ovh.net/v1/AUTH_cf288dd96a8a4bc5bbc0ba258e1b93b8/media-storage-prod/874f9088-0ec6-4522-95dd-c089c75e9502_aswan-social-paid-es-16-9-07-04.mp4
